nickname,llm_name,primary_metaphor,tell_mechanism,his_language,her_experience,what_expert_notices,signal_strength,scope,citation,,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (non-denial),I genuinely can't believe you'd think that of me.,,"Spy the Lie / Hancock deception repertoire: non-denial. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (non-denial),Wow. Okay. I didn't think you saw me that way.,,"Spy the Lie / Hancock deception repertoire: non-denial. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (non-denial),That's really what you think is going on here?,,"Spy the Lie / Hancock deception repertoire: non-denial. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (convincing-not-conveying),You know me. That is just not who I am.,,"Spy the Lie / Hancock deception repertoire: convincing-not-conveying. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (convincing-not-conveying),Have I ever given you a reason to doubt me? I don't think I have.,,"Spy the Lie / Hancock deception repertoire: convincing-not-conveying. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (convincing-not-conveying),Look at how I treat you. Does that look like someone who'd do that?,,"Spy the Lie / Hancock deception repertoire: convincing-not-conveying. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (attack-the-questioner),The fact that you'd even ask says more about where you're at than about me.,,"Spy the Lie / Hancock deception repertoire: attack-the-questioner. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (attack-the-questioner),"I think this is something you need to look at in yourself, honestly.",,"Spy the Lie / Hancock deception repertoire: attack-the-questioner. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (attack-the-questioner),"Is this about me, or about what your ex did to you?",,"Spy the Lie / Hancock deception repertoire: attack-the-questioner. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (why-would-I reframe),"Why would I even do that? Think about it, it makes no sense.",,"Spy the Lie / Hancock deception repertoire: why-would-I reframe. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (why-would-I reframe),What would I possibly get out of lying to you about something that small?,,"Spy the Lie / Hancock deception repertoire: why-would-I reframe. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (referral/character),Ask anyone who knows me. I'm the most loyal person you'll ever meet.,,"Spy the Lie / Hancock deception repertoire: referral/character. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (referral/character),My friends will all tell you the same thing about me.,,"Spy the Lie / Hancock deception repertoire: referral/character. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (character-protest),I'm a good person. I would never do something like that to someone I care about.,,"Spy the Lie / Hancock deception repertoire: character-protest. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (qualifier/exclusion hedge),I would never intentionally hurt you.,,"Spy the Lie / Hancock deception repertoire: qualifier/exclusion hedge. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (qualifier/exclusion hedge),I don't really talk to her anymore.,,"Spy the Lie / Hancock deception repertoire: qualifier/exclusion hedge. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (qualifier/exclusion hedge),Nothing happened that you'd actually need to worry about.,,"Spy the Lie / Hancock deception repertoire: qualifier/exclusion hedge. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (over-swearing/bolstering),"I swear on my life, on everything, that is not what happened.",,"Spy the Lie / Hancock deception repertoire: over-swearing/bolstering. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (over-swearing/bolstering),I swear on my mother. You have to believe me.,,"Spy the Lie / Hancock deception repertoire: over-swearing/bolstering. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (selective memory/vagueness),I honestly don't even remember saying that.,,"Spy the Lie / Hancock deception repertoire: selective memory/vagueness. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (selective memory/vagueness),I don't recall it going down that way at all.,,"Spy the Lie / Hancock deception repertoire: selective memory/vagueness. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (reverse-question stall),Why do you ask? What did you hear?,,"Spy the Lie / Hancock deception repertoire: reverse-question stall. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (reverse-question stall),Where is this coming from all of a sudden?,,"Spy the Lie / Hancock deception repertoire: reverse-question stall. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (honesty-flagging),"Honestly? To be totally honest with you, no.",,"Spy the Lie / Hancock deception repertoire: honesty-flagging. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (honesty-flagging),"I'll be real with you, because I always am.",,"Spy the Lie / Hancock deception repertoire: honesty-flagging. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008,charm;boundary-pushing;false-reality,
