culture,snippet,type,translation,status_signal,notes
Polyamorous,My partners,vocabulary,He has multiple romantic/sexual relationships at the same time and refers to them as a group,He's established in poly already,Plural is the diagnostic
Polyamorous,My primary,vocabulary,He has an existing main partner — usually live-in or married,If you date him you'd be ranked below his primary,Often used to soften the existence of a wife
Polyamorous,Jealousy is just information,phrase,When you're upset about something he did he's telling you the problem is in your head not his behavior,He's removing his actions from the conversation,Standard deflection move
Polyamorous,Jealousy is your wound to work on,phrase,Your discomfort is being labeled as your personal damage he doesn't need to address,He's making you the problem,Heavy deflection
Polyamorous,Working through your jealousy,phrase,Your reasonable upset is being framed as a project you need to complete,He treats your feelings as a personal homework assignment,Treats your response as developmental task
Polyamorous,That's your couple privilege,accusation,He's telling a secondary partner that she's the lucky one for being secondary,Can be a fair point or can be deployed against legitimate concerns,Sometimes used by him against existing primaries
Polyamorous,My boundary is that I don't get interrogated,phrase,He's calling your questions interrogation and using boundary language to refuse them,The word boundary is being misused to mean demand on you,Functions as accountability shield
Polyamorous,I have boundaries around being questioned,phrase,Don't ask him about his behavior,Same manipulation of boundary vocabulary,Boundaries used as shield against partner curiosity
Polyamorous,That's outside our agreements,phrase,Your concern is being dismissed because it wasn't in the rules,Pre-existing rules used to limit your response,Works only if the rules were truly mutual
Polyamorous,We need to renegotiate our agreements,phrase,He wants to change the rules — usually in his favor,Often signals expansion of what he can do,Watch the direction of renegotiation
Polyamorous,This relationship is your growth edge,phrase,He's framing your suffering as a developmental opportunity,Makes objecting to suffering into objecting to growth,Spiritualizes harm
Polyamorous,The discomfort is the point,phrase,Your pain is supposedly the goal of the relationship,Makes leaving feel like failing the lesson,Heavy framework deployment
Polyamorous,If you weren't being stretched you wouldn't be growing,phrase,He's saying your pain is proof you're developing,Pre-empts complaints about hurt,Same pattern as growth-edge framing
Polyamorous,State-of-the-union conversation,lifestyle marker,Scheduled relationship check-in,Standard poly infrastructure,Can be healthy or surveillance-heavy
Polyamorous,Relationship menu,lifestyle marker,Explicit written agreement document,Heavy structural commitment,Sometimes useful; sometimes locks in unfavorable terms
Polyamorous,Calendar app for managing partners,lifestyle marker,App-based scheduling across multiple relationships,Established multiple-partner logistics,Signals serious infrastructure
Polyamorous,Group chat with metamours,lifestyle marker,All of his partners are in a chat together,KTP-style; community emphasis,Can be healthy or surveillance
Polyamorous,Veto power,vocabulary,One partner has the right to end his relationship with another partner,Hierarchical poly; contested,Signals power-asymmetry already structured
Polyamorous,I just want to add to your life not subtract from it,phrase,He's telling you opening the relationship will only give you more,Standard recruitment move,Used while restructuring your existing arrangement
Polyamorous,My existing partner is amazing and supportive,phrase,Reassurance about his existing primary,Recruitment phase,The existing partner may be less supportive than he claims
Polyamorous,My wife knows,phrase,He's married and his wife knows he dates others,Married seeking secondary,Often delivered after you're invested
Polyamorous,We have an arrangement,phrase,He has an established structure with his wife that allows him to date,Standard hierarchical poly,You'd be operating within rules you didn't help set
Polyamorous,My primary and I are looking for a third,phrase,Couple seeking a secondary together,Unicorn-hunt pattern,You join existing dynamic you didn't shape
Polyamorous,I'm only seeing you right now,phrase,Reassurance he's currently focused on you,Often softens recruitment-stage anxiety,"Watch whether ""right now"" expands later"
Polyamorous,I'm open to whatever you're comfortable with,phrase,Reassurance during recruitment that often shifts later,Comfort definitions tend to expand,Watch for re-negotiation later
Polyamorous,I've been thinking about opening up,phrase,He's introducing the framework after you're invested,Escalation pattern,Strategic timing of disclosure
Polyamorous,I'm starting to wonder if I'm wired for monogamy,phrase,Framing as emerging realization rather than long-held position,Conversion attempt,Often he's had this position from the start
Polyamorous,What would you think if I told you...,phrase,Soft introduction to a non-monogamy proposal,Recruitment move,Tests your reaction before committing position
Polyamorous,I want to grow with you,phrase,Framing of pressure as developmental,Recruitment language,Sounds like commitment; often means pressure
Polyamorous,Looking for someone who's done their work,profile language,Filtering for self-managing partner who won't bring reactions to him,Standard filter,Looking for woman who won't demand emotional labor
Evangelical,Where do you go to church?,question,He wants to know what kind of Christian you are — what theology shaped you and what your politics probably look like,A non-denominational megachurch signals mainstream contemporary evangelical; a Reformed Baptist or PCA church signals more theologically conservative; charismatic/Pentecostal signals expressive worship often working-class; mainline (Methodist/Episcopal) signals less evangelical and more liberal,Specific church often tells him your class background too
Evangelical,Who's your pastor?,question,He wants to know whose theology you're under and whether your pastor is in good standing in evangelical celebrity culture,A celebrity pastor like Steven Furtick signals contemporary mainstream; John MacArthur or Voddie Baucham signals theologically Reformed and more conservative on gender; Jen Wilkin or Beth Moore signals less rigid complementarianism,Tells him whether you'll defer to male spiritual authority
Evangelical,Are you in a small group?,question,He's checking whether you're a serious Christian with a regular accountability group or a Sunday-only attendee,Being in a small group signals commitment; not being in one signals casual,Small group culture is core to contemporary evangelical life
Evangelical,How's your walk?,question,He's asking how spiritually serious you are right now — whether you're in a strong or weak spiritual period,The answer determines whether he engages with you spiritually or socially,Standard insider check-in
Evangelical,Did you go to a Christian school?,question,He wants to know how sheltered you were from secular culture growing up,Christian school signals parental investment in keeping the worldview intact,Tells him how aligned your reference points will be with his
Evangelical,Did you go to a Christian college?,question,He's asking which college specifically — each signals a different kind of evangelical,Bob Jones or Liberty signals fundamentalist; Wheaton or Biola signals academically serious evangelical; Cedarville signals more conservative; specific colleges narrow him in,The college often reveals more than the church does
Evangelical,Are you saving yourselves?,question,He's asking if you're committed to not having sex before marriage,Yes signals purity-culture compliance; saying no signals lower status in his framework,Often asked early to filter for chastity
Evangelical,How did you know he was the one the Lord had for you?,question,He's asking whether God spoke directly to you about a relationship — confirming spiritual maturity,The expected answer involves prayer and peace from the Holy Spirit and confirmation from others,Tests how you frame relational decisions
Evangelical,Are you and your husband on the same page spiritually?,question,He's checking whether your husband leads spiritually and whether you follow,If he's behind you spiritually it's framed as a problem; the reverse is fine,Tests whether you accept male spiritual headship
Evangelical,The Lord told me,phrase,He's saying God personally told him to do this so you can't push back,Divine authority is being claimed for his decision,Common when he wants to do something unilateral
Evangelical,I felt led,phrase,He's softer version of God told me — the Holy Spirit guided him so you shouldn't second-guess,Spiritual authority claimed for decision,Often used to override partner input
Evangelical,God put it on my heart,phrase,He's saying God placed this idea or decision in him so it's not up for discussion,Removes his choice from negotiation,Same pattern as the Lord told me
Evangelical,We're praying about it,phrase,He doesn't want to give you an answer and dressing it up as spiritual makes it harder for you to push back,Often used to defer decisions indefinitely,Watch how long the prayer lasts
Evangelical,She's not submitting,phrase,He's saying a wife is failing to do what her husband wants — and he's calling her resistance a theological failure rather than legitimate disagreement,The problem is identified as her resistance not his demand,Said about other wives reveals his framework
Evangelical,He's the head of the household,phrase,He gets to decide; your input is consultative not equal,Direct statement of complementarian theology,Often paired with biblical citation
Evangelical,Iron sharpens iron,phrase,He's defending harsh treatment in male friendships as spiritual growth,Sometimes covers hazing or emotional abuse within men's friend groups,Used about his accountability group
Evangelical,She's in a season,phrase,A woman is going through something difficult and the religious framing dignifies the suffering and discourages probing,Discourages anyone from asking real questions,Used to keep difficult situations private
Evangelical,That's not biblical,phrase,He disagrees with you and is using the Bible to win the argument so you can't push back,Scripture as trump card,Often deployed to override partner preferences
Evangelical,He has a problem with submission,phrase about a wife,A wife has opinions and resists her husband's decisions — and the husband is calling her resistance a problem,Locates the issue in the wife not the husband,Diagnostic of how he frames relationships
Evangelical,She's bitter,phrase about a wife,A wife has real complaints but he's calling her morally broken so no one takes her side,Reframes legitimate grievances as moral failure to forgive,Watch how he describes women who push back
Evangelical,We're doing courtship not dating,phrase,Our families are heavily involved and we're committed to no sex before marriage and the relationship is on a marriage track from the start,Heavy purity-culture signal,Distinct from regular dating
