Player Type,LLM Reference,High Traits,Low Traits,Description,"Accountability (Self-blaming 10, Blames others 0)","Attachment (Clingy 10, Detached 0)","Boundaries (Rigid/Distant 10, Intrusive/Violating 0)","Charm (Manipulative 10, Blunt 0)","Cognitive Flexibility (Magical Thinking 10, Rigid hyperlogical thinking 0)","Conflict (Explosive 10, Avoidant 0)","Control (Controlling 10, Chaotic 0)","Deception (Chronic lying 10, Brutally honest 0)","Disrespect (Contemptuous 10, Overindulgent 0)","Dominance (Power-seeking 10, Submissive 0)","Dysregulation (Emotionally volatile 10, Overcontrolled 0)","Emotional Overexposure (Weaponized vulnerability 10, Emotionally closed 0)","Empathy (Affective) (Over-absorbing others’ pain 10, Low affective empathy 0)","Enmeshment (Identity-fused 10, Detached 0)","Exploitation (Uses others instrumentally 10, Self-sacrificing 0)","Grandiosity (Entitled 10, Self-diminishing 0)","Impulsivity (Reckless 10, Risk-averse 0)","Inconsistency (Erratic 10, Monotone 0)","Intensity (Love-bombing 10, Flat affect 0)","Isolation (Isolates partner 10, No privacy boundaries 0)","Neediness (Clingy 10, Hyper-independent 0)","Goal Persistance (Obsessive 10, Easily gives up 0)","Sensation-seeking (Thrill-driven 10, Comfort-seeking 0)","Sense of Self (Rigid identity 10, Diffuse identity 0)","Superficiality (Image-focused 10, Overly introspective 0)","Trust (Naively trusting 10, Chronically mistrustful 0)","Unorthodoxy (Rule-rejecting 10, Conventional 0)","Validation-seeking (Needs admiration 10, Dismissive of feedback 0)"
Manipulative Morgan,Emotional Predator (Sandra L. Brown) or PrimaryPsychopath,"Exploitation, Deception, Charm","Sense of Self, Attachment, Accountability",Highly calculating and targets partners for utility rather than connection. Performs vulnerability or distress strategically to manipulate perception while remaining emotionally detached internally. Thrilling early on but destabilizing over time.,0,1,0,10,7,8,9,10,10,9,1,8,0,1,10,9,9,10,10,8,0,5-8,8,0,9,2,9,6
Menacing Marley,"The Terrorist (Lundy Bancroft), Sociopath, or Secondary Psychopath","Control, Boundary Violations, Dominance","Empathy, Accountability, Neediness","Rules through intimidation and fear. Uses threats, rage, and punishment to enforce obedience. Keeps partners hyper-vigilant and afraid to act independently. Small perceived slights trigger disproportionate reactions. Maintains control by making the partner afraid of consequences.",0,1,0,2,5,9,10,3,10,10,8,1,0,2,9,8,8,7,9,10,0,2,9,7,6,1,6,2
Egocentric Evan,The Narcissist,"Grandiosity, Validation-Seeking, Superficiality","Trust, Empathy, Accountability","This type lives in a world where everything revolves around them. They demand constant validation and react with rage or withdrawal when criticized. They present a grandiose exterior, but it often hides fragile self-esteem. Gaslighting, triangulation, and subtle put-downs are common tools. Relationships revolve around keeping the narcissist supplied with admiration.",1,8,2,10,8,8,8,8,7,8,8,7,2,8,8,10,7,7,8,2,8,3-7,7,9,9,2,3,10
Domineering Devin,"The Drill Sergeant (Lundy Bancroft), Maybe OCD","Control, Dominance, Sense of Self","Neediness, Emotional Overexposure, Unorthodoxy","Rigid and domineering, enforces strict rules on daily life. Micromanages routines, decisions, and emotional expression. Disobedience is met with shaming framed as discipline. Control extends into finances, chores, and roles. Partner feels infantilized and stripped of autonomy.",3,2,2,3,2,8,10,4,9,10,3,1,1,8,7,8,3,2,7,9,1,8,2,10,4,2,1,3
Conspiratorial Corey,"The Paranoid (Joe Navarro), Cluster A","Isolation, Conflict, Control","Trust, Charm, Hyperlogical Thinking",Constantly suspects betrayal or hidden plots. Misreads neutral behavior as threatening and demands reassurance or proof of loyalty. Keeps relationships tense through suspicion and monitoring. Mistrust isolates both partner and self from outside support.,3,8,3,2,10,7,8,3,7,6,8,2,3,6,5,6,4,6,7,10,4,8,3,7,5,0,9,4
Arrogant Avery,Mr. Always Right (Lundy Bancroft),"Dominance, Conflict, Grandiosity","Enmeshment, Neediness, Accountability","Positions himself as the ultimate authority on every subject. Dismisses and talks over others until they stop challenging him. Treats disagreement as disrespect rather than dialogue. Being right matters more than fairness or connection. Over time, partners begin doubting their own judgment.",4,2,7,3,3,10,7,4,8,10,4,1,2,3,6,8,3,3,5,5,2,6,5,9,6,4,3,6
Backhanded Blake,Passive Aggressive,"Disrespect, Inconsistency, Control","Dysregulation, Conflict, Accountability","Resists requests or intimacy indirectly through procrastination, forgetfulness, or silent sabotage. Avoids saying no directly but undermines outcomes until others give up. Appears compliant on the surface yet creates tension through inaction. Words and actions don’t match, eroding trust and shifting responsibility onto others.",2,4,6,3,4,1,8,3,8,4,2,2,3,4,5,4,4,9,4,5,3,7,2,6,4,3,3,4
Needy Noel,"The Clinger (Sandra L. Brown), Borderline Personality Disorder","Enmeshment, Dysregulation, Compulsive Attachment","Sense of Self, Disrespect, Grandiosity","Overly enmeshed and terrified of abandonment, demands constant reassurance and closeness. Interprets boundaries as rejection and escalates neediness when distance is perceived. Dependence feels flattering at first but becomes suffocating. Pressures partner into emotional caretaker role rather than equal.",7,10,2,3,3,8,8,3,3,2,9,9,7,10,6,2,7,7,8,6,10,8,5,2,5,4,3,8
Adrenaline Ainsley,The Addict,"Dysregulation, Impulsivity, Inconsistency","Sense of Self, Control, Accountability","Addiction dominates priorities and destabilizes relationships. Substances or compulsive behaviors override commitments. Cycles through promises, guilt, charm, and relapse. Partners manage crises, finances, or excuses while trust erodes through repeated instability.",2,5,3,5,8,6,1,8,5,3,10,8,3,7,7,6,10,10,8,4,7,1,10,3,7,4,8,6
Dependent Drew,The Mommy Seeker (Sandra L. Brown),"Neediness, Charm, Compulsive Attachment","Dominance, Perseverance, Accountability","Seeks a partner to function as caregiver rather than equal. Expects indulgence, reassurance, and forgiveness while avoiding responsibility. Uses charm and helplessness to shift burdens onto the partner. Creates a parent-child dynamic that builds resentment as the partner carries both roles.",2,9,4,9,5,3,2,4,4,2,5,6,5,8,8,3,6,7,6,4,9,2,6,3,6,6,5,7
Storytelling Sam,The Future Faker (Nathalie Lue),"Deception, Inconsistency, Superficiality","Attachment, Perseverance, Empathy","Hooks partners with grand future promises—marriage, travel, plans—but never follows through. Uses fantasy as bait to maintain investment. When confronted, deflects or invents obstacles. Cycles between hope and disappointment, keeping partners waiting and doubting themselves.",2,2,6,8,4,4,3,9,5,4,4,3,2,3,7,5,6,9,7,4,4,2,5,4,9,4,5,7
Tornado Toby,ADHD,"Impulsivity, Unorthodoxy, Sensation-Seeking","Control, Dominance, Hyperlogical Thinking","Impulsive, distractible, and novelty-driven, brings energy and spontaneity but struggles with follow-through and organization. Focus shifts quickly, leading partners to feel overlooked or dropped unintentionally. Inconsistency reflects attention regulation differences rather than intent. Stability improves with structure, support, and understanding.",6,7,5,4,8,4,2,2,3,2,8,5,6,4,3,3,9,9,6,3,5,2,10,4,3,7,8,4
Blunt Bailey,Autistic,"Hyperlogical Thinking, Perseveration, Trust","Impulsivity, Charm, Sensation Seeking","Literal, direct, and less attuned to social nuance, with focused interests and strong internal logic. Emotional reciprocity may appear limited due to different processing rather than malice. Can be steady, honest, and loyal when understood; shutdowns/meltdowns may be misread as coldness.",8,2,7,2,1,5,7,0,4,3,3,2,7,2,3,2,1,2,3,5,3,9,1,8,2,8,4,2
